name,position,nationality,age,height,weight,club,club_nationality,club-league
alisson-becker,Goalkeeper,brasilien,27,193,91,liverpool,england,premier-league
nathaniel-clyne,Defender,england,28,175,67,liverpool,england,premier-league
fabinho,Midtfielder,brasilien,26,188,78,liverpool,england,premier-league
virgil-van-dijk,Defender,holland,28,193,92,liverpool,england,premier-league
georginio-wijnaldum,Midtfielder,holland,28,175,74,liverpool,england,premier-league
dejan-lovren,Defender,kroatien,30,188,84,liverpool,england,premier-league
james-milner,Midtfielder,england,33,175,70,liverpool,england,premier-league
naby-keita,Midtfielder,guinea,24,172,64,liverpool,england,premier-league
roberto-firmino,Attacker,brasilien,28,181,76,liverpool,england,premier-league
sadio-mane,Attacker,senegal,27,175,69,liverpool,england,premier-league
mohamed-salah,Attacker,egypten,27,175,71,liverpool,england,premier-league
joseph-gomez,Defender,england,22,191,77,liverpool,england,premier-league
adrian,Goalkeeper,spanien,32,190,80,liverpool,england,premier-league
jordan-henderson,Midtfielder,england,29,182,67,liverpool,england,premier-league
alex-oxlade-chamberlain,Midtfielder,england,26,180,70,liverpool,england,premier-league
adam-lallana,Midtfielder,england,31,172,73,liverpool,england,premier-league
andy-lonergan,Goalkeeper,england,36,192,87,liverpool,england,premier-league
xherdan-shaqiri,Attacker,schweiz,28,169,72,liverpool,england,premier-league
rhian-brewster,Attacker,england,19,180,75,liverpool,england,premier-league
andrew-robertson,Defender,skotland,25,178,64,liverpool,england,premier-league
divock-origi,Attacker,belgien,24,185,75,liverpool,england,premier-league
joel-matip,Defender,cameroun,28,195,89,liverpool,england,premier-league
curtis-jones,Midtfielder,england,18,182,68,liverpool,england,premier-league
ki-jana-hoever,Defender,holland,17,-,-,liverpool,england,premier-league
herbie-kane,Midtfielder,england,20,-,-,liverpool,england,premier-league
caoimhin-kelleher,Goalkeeper,irland,20,-,-,liverpool,england,premier-league
trent-alexander-arnold,Defender,england,21,175,69,liverpool,england,premier-league
harvey-elliott,Midtfielder,england,16,-,-,liverpool,england,premier-league
pedro-chirivella,Midtfielder,spanien,22,178,75,liverpool,england,premier-league
sepp-van-den-berg,Defender,holland,17,-,-,liverpool,england,premier-league
neco-williams,Midtfielder,wales,18,-,-,liverpool,england,premier-league
leighton-clarkson,Midtfielder,england,18,-,-,liverpool,england,premier-league
billy-koumetio,Defender,frankrig,16,-,-,liverpool,england,premier-league
adam-lewis,Defender,england,19,-,-,liverpool,england,premier-league
marko-grujic,Midtfielder,serbien,23,191,82,liverpool,england,premier-league
ovie-ejaria,Midtfielder,england,21,183,75,liverpool,england,premier-league
luis-longstaff,Attacker,england,18,-,-,liverpool,england,premier-league
claudio-bravo,Goalkeeper,chile,36,184,84,manchester-city,england,premier-league
kyle-walker,Defender,england,29,178,83,manchester-city,england,premier-league
john-stones,Defender,england,25,188,70,manchester-city,england,premier-league
raheem-sterling,Attacker,england,24,170,69,manchester-city,england,premier-league
ilkay-guendogan,Midtfielder,tyskland,29,180,79,manchester-city,england,premier-league
gabriel-jesus,Attacker,brasilien,22,175,73,manchester-city,england,premier-league
sergio-aguero,Attacker,argentina,31,173,70,manchester-city,england,premier-league
oleksandr-zinchenko,Midtfielder,ukraine,22,175,61,manchester-city,england,premier-league
angelino,Defender,spanien,22,170,68,manchester-city,england,premier-league
aymeric-laporte,Defender,frankrig,25,191,85,manchester-city,england,premier-league
rodri,Midtfielder,spanien,23,190,88,manchester-city,england,premier-league
kevin-de-bruyne,Midtfielder,belgien,28,181,68,manchester-city,england,premier-league
leroy-sane,Attacker,tyskland,23,183,75,manchester-city,england,premier-league
bernardo-silva,Midtfielder,portugal,25,173,64,manchester-city,england,premier-league
david-silva,Midtfielder,spanien,33,173,67,manchester-city,england,premier-league
benjamin-mendy,Defender,frankrig,25,185,85,manchester-city,england,premier-league
fernandinho,Midtfielder,brasilien,34,179,66,manchester-city,england,premier-league
riyad-mahrez,Midtfielder,algeriet,28,179,61,manchester-city,england,premier-league
joao-cancelo,Defender,portugal,25,182,72,manchester-city,england,premier-league
nicolas-otamendi,Defender,argentina,31,183,82,manchester-city,england,premier-league
ederson-moraes,Goalkeeper,brasilien,26,188,89,manchester-city,england,premier-league
daniel-grimshaw,Goalkeeper,england,21,185,77,manchester-city,england,premier-league
scott-carson,Goalkeeper,england,34,190,86,manchester-city,england,premier-league
phil-foden,Midtfielder,england,19,171,70,manchester-city,england,premier-league
zack-steffen,Goalkeeper,usa,24,-,-,manchester-city,england,premier-league
arijanet-muric,Goalkeeper,kosovo,20,197,81,manchester-city,england,premier-league
ko-itakura,Defender,japan,22,185,75,manchester-city,england,premier-league
philippe-sandler,Defender,holland,22,188,76,anderlecht,belgien,first-division-a
patrick-roberts,Midtfielder,england,22,167,58,norwich-city,england,premier-league
jack-harrison,Midtfielder,england,22,175,70,manchester-city,england,premier-league
daniel-arzani,Midtfielder,australien,20,171,73,manchester-city,england,premier-league
ryotaro-meshino,Midtfielder,japan,21,171,68,manchester-city,england,premier-league
kasper-schmeichel,Goalkeeper,danmark,33,189,89,leicester-city,england,premier-league
james-justin,Defender,england,21,183,80,leicester-city,england,premier-league
ben-chilwell,Defender,england,22,178,77,leicester-city,england,premier-league
wes-morgan,Defender,jamaica,35,186,93,leicester-city,england,premier-league
jonny-evans,Defender,nordirland,31,188,79,leicester-city,england,premier-league
demarai-gray,Midtfielder,england,23,180,74,leicester-city,england,premier-league
youri-tielemans,Midtfielder,belgien,22,177,72,leicester-city,england,premier-league
jamie-vardy,Attacker,england,32,179,74,leicester-city,england,premier-league
james-maddison,Midtfielder,england,22,175,73,leicester-city,england,premier-league
marc-albrighton,Midtfielder,england,29,175,67,leicester-city,england,premier-league
danny-ward,Goalkeeper,wales,26,191,88,leicester-city,england,premier-league
islam-slimani,Attacker,algeriet,31,188,84,leicester-city,england,premier-league
kelechi-iheanacho,Attacker,nigeria,23,185,82,leicester-city,england,premier-league
harvey-barnes,Midtfielder,england,21,174,66,leicester-city,england,premier-league
filip-benkovic,Defender,kroatien,22,194,80,leicester-city,england,premier-league
ayoze-perez,Attacker,spanien,26,178,72,leicester-city,england,premier-league
daniel-amartey,Midtfielder,ghana,24,186,76,leicester-city,england,premier-league
hamza-choudhury,Midtfielder,england,22,178,64,leicester-city,england,premier-league
ricardo-pereira,Defender,portugal,26,175,70,leicester-city,england,premier-league
matthew-james,Midtfielder,england,28,181,73,leicester-city,england,premier-league
adrien-silva,Midtfielder,portugal,30,175,69,leicester-city,england,premier-league
nampalys-mendy,Midtfielder,frankrig,27,167,68,leicester-city,england,premier-league
wilfred-ndidi,Midtfielder,nigeria,22,183,80,leicester-city,england,premier-league
dennis-praet,Midtfielder,belgien,25,181,78,leicester-city,england,premier-league
christian-fuchs,Defender,oestrig,33,187,84,leicester-city,england,premier-league
rachid-ghezzal,Midtfielder,algeriet,27,182,65,leicester-city,england,premier-league
eldin-jakupovic,Goalkeeper,schweiz,35,191,83,leicester-city,england,premier-league
thakgalo-leshabela,Midtfielder,sydafrika,20,-,-,leicester-city,england,premier-league
caglar-soyuncu,Defender,tyrkiet,23,187,84,leicester-city,england,premier-league
andy-king,Midtfielder,wales,31,184,74,leicester-city,england,premier-league
kepa-arrizabalaga,Goalkeeper,spanien,25,189,84,chelsea,england,premier-league
antonio-ruediger,Defender,tyskland,26,190,85,chelsea,england,premier-league
marcos-alonso,Defender,spanien,28,188,85,chelsea,england,premier-league
andreas-christensen,Defender,danmark,23,188,78,chelsea,england,premier-league
jorginho,Midtfielder,italien,27,180,65,chelsea,england,premier-league
ngolo-kante,Midtfielder,frankrig,28,168,68,chelsea,england,premier-league
ross-barkley,Midtfielder,england,25,189,86,chelsea,england,premier-league
tammy-abraham,Attacker,england,22,190,80,chelsea,england,premier-league
willian,Attacker,brasilien,31,175,70,chelsea,england,premier-league
pedro-rodriguez,Attacker,spanien,32,169,64,chelsea,england,premier-league
ruben-loftus-cheek,Midtfielder,england,23,191,88,chelsea,england,premier-league
wilfredo-caballero,Goalkeeper,argentina,38,186,80,chelsea,england,premier-league
tiemoue-bakayoko,Midtfielder,frankrig,25,185,77,chelsea,england,premier-league
kurt-zouma,Defender,frankrig,25,190,92,chelsea,england,premier-league
kenedy,Midtfielder,brasilien,23,182,77,chelsea,england,premier-league
mateo-kovacic,Midtfielder,kroatien,25,178,78,chelsea,england,premier-league
olivier-giroud,Attacker,frankrig,33,192,93,chelsea,england,premier-league
mason-mount,Midtfielder,england,20,178,70,chelsea,england,premier-league
callum-hudson-odoi,Attacker,england,18,182,73,chelsea,england,premier-league
davide-zappacosta,Defender,italien,27,185,70,chelsea,england,premier-league
christian-pulisic,Midtfielder,usa,21,172,69,chelsea,england,premier-league
michy-batshuayi,Attacker,belgien,26,184,88,chelsea,england,premier-league
reece-james,Defender,england,19,182,82,chelsea,england,premier-league
cesar-azpilicueta,Defender,spanien,30,178,70,chelsea,england,premier-league
fikayo-tomori,Defender,england,21,185,75,chelsea,england,premier-league
jamie-cumming,Goalkeeper,england,20,186,79,chelsea,england,premier-league
lucas-piazon,Midtfielder,brasilien,25,183,80,chelsea,england,premier-league
emerson,Defender,italien,25,176,63,chelsea,england,premier-league
ian-maatsen,Defender,holland,17,-,-,chelsea,england,premier-league
marco-van-ginkel,Midtfielder,holland,26,180,67,chelsea,england,premier-league
marc-guehi,Defender,england,19,-,-,chelsea,england,premier-league
billy-gilmour,Midtfielder,skotland,18,-,-,chelsea,england,premier-league
tariq-lamptey,Defender,england,19,-,-,chelsea,england,premier-league
abdul-rahman-baba,Defender,ghana,25,179,70,chelsea,england,premier-league
matt-miazga,Defender,usa,24,195,89,chelsea,england,premier-league
ethan-ampadu,Defender,wales,19,183,78,chelsea,england,premier-league
victor-moses,Midtfielder,nigeria,28,177,76,chelsea,england,premier-league
danny-drinkwater,Midtfielder,england,29,178,70,burnley,england,premier-league
lewis-baker,Midtfielder,england,24,178,70,chelsea,england,premier-league
charly-musonda,Midtfielder,belgien,23,173,66,chelsea,england,premier-league
faustino-anjorin,Midtfielder,england,17,-,-,chelsea,england,premier-league
alvaro-morata,Attacker,spanien,27,189,82,chelsea,england,premier-league
ike-ugbo,Attacker,england,21,-,-,chelsea,england,premier-league
bernd-leno,Goalkeeper,tyskland,27,190,79,arsenal,england,premier-league
hector-bellerin,Defender,spanien,24,178,74,arsenal,england,premier-league
kieran-tierney,Defender,skotland,22,178,70,arsenal,england,premier-league
mohamed-elneny,Midtfielder,egypten,27,180,77,arsenal,england,premier-league
sokratis-papastathopoulos,Defender,graekenland,31,186,82,arsenal,england,premier-league
henrikh-mkhitaryan,Midtfielder,armenien,30,177,75,arsenal,england,premier-league
daniel-ceballos,Midtfielder,spanien,23,176,65,arsenal,england,premier-league
alexandre-lacazette,Attacker,frankrig,28,175,73,arsenal,england,premier-league
mesut-ozil,Midtfielder,tyskland,31,180,76,arsenal,england,premier-league
lucas-torreira,Midtfielder,uruguay,23,168,60,arsenal,england,premier-league
pierre-emerick-aubameyang,Attacker,gabon,30,187,80,arsenal,england,premier-league
ainsley-maitland-niles,Midtfielder,england,22,177,71,arsenal,england,premier-league
rob-holding,Defender,england,24,189,75,arsenal,england,premier-league
nicolas-pepe,Attacker,elfenbenskysten,24,178,68,arsenal,england,premier-league
shkodran-mustafi,Defender,tyskland,27,184,82,arsenal,england,premier-league
calum-chambers,Defender,england,24,182,66,arsenal,england,premier-league
david-luiz,Defender,brasilien,32,189,84,arsenal,england,premier-league
reiss-nelson,Attacker,england,19,175,71,arsenal,england,premier-league
emiliano-martinez,Goalkeeper,argentina,27,195,88,arsenal,england,premier-league
konstantinos-mavropanos,Defender,graekenland,21,194,88,arsenal,england,premier-league
joseph-willock,Midtfielder,england,20,179,71,arsenal,england,premier-league
matteo-guendouzi,Midtfielder,frankrig,20,185,68,arsenal,england,premier-league
sead-kolasinac,Defender,bosnien,26,183,82,arsenal,england,premier-league
emile-smith-rowe,Midtfielder,england,19,182,73,arsenal,england,premier-league
matt-macey,Goalkeeper,england,25,198,81,arsenal,england,premier-league
granit-xhaka,Midtfielder,schweiz,27,185,82,arsenal,england,premier-league
gabriel-martinelli,Attacker,brasilien,18,-,-,arsenal,england,premier-league
james-hillson,Goalkeeper,england,18,-,-,arsenal,england,premier-league
joel-lopez,Defender,spanien,17,-,-,arsenal,england,premier-league
bukayo-saka,Attacker,england,18,-,-,arsenal,england,premier-league
jordi-osei-tutu,Defender,england,21,176,70,arsenal,england,premier-league
william-saliba,Defender,frankrig,18,-,-,arsenal,england,premier-league
edward-nketiah,Attacker,england,20,175,72,arsenal,england,premier-league
dean-henderson,Goalkeeper,england,22,188,85,sheffield-united,england,premier-league
george-baldock,Midtfielder,england,26,175,67,sheffield-united,england,premier-league
enda-stevens,Defender,irland,29,183,79,sheffield-united,england,premier-league
john-fleck,Midtfielder,skotland,28,175,72,sheffield-united,england,premier-league
jack-oconnell,Defender,england,25,191,85,sheffield-united,england,premier-league
chris-basham,Defender,england,31,180,80,sheffield-united,england,premier-league
john-lundstram,Defender,england,25,181,74,sheffield-united,england,premier-league
luke-freeman,Midtfielder,england,27,183,64,sheffield-united,england,premier-league
oliver-mcburnie,Attacker,skotland,23,188,79,sheffield-united,england,premier-league
billy-sharp,Attacker,england,33,175,70,sheffield-united,england,premier-league
callum-robinson,Attacker,irland,24,178,75,sheffield-united,england,premier-league
john-egan,Defender,irland,27,185,72,sheffield-united,england,premier-league
ravel-morrison,Midtfielder,jamaica,26,175,71,sheffield-united,england,premier-league
phil-jagielka,Defender,england,37,180,83,sheffield-united,england,premier-league
oliver-norwood,Midtfielder,nordirland,28,180,76,sheffield-united,england,premier-league
david-mcgoldrick,Attacker,irland,31,185,75,sheffield-united,england,premier-league
kieron-freeman,Defender,wales,27,184,74,sheffield-united,england,premier-league
richard-stearman,Defender,england,32,191,67,sheffield-united,england,premier-league
kean-bryan,Defender,england,23,185,72,sheffield-united,england,premier-league
lys-mousset,Attacker,frankrig,23,184,80,sheffield-united,england,premier-league
ben-heneghan,Defender,england,26,191,79,sheffield-united,england,premier-league
leon-clarke,Attacker,england,34,188,90,sheffield-united,england,premier-league
simon-moore,Goalkeeper,england,29,191,77,sheffield-united,england,premier-league
muhamed-besic,Midtfielder,bosnien,27,180,75,sheffield-united,england,premier-league
michael-verrips,Goalkeeper,holland,22,196,85,sheffield-united,england,premier-league
jake-eastwood,Goalkeeper,england,23,-,-,sheffield-united,england,premier-league
jake-wright,Defender,england,33,180,67,sheffield-united,england,premier-league
rhys-norrington-davies,Defender,wales,20,-,-,sheffield-united,england,premier-league
mark-duffy,Midtfielder,england,34,175,72,sheffield-united,england,premier-league
ricky-holmes,Midtfielder,england,32,188,75,sheffield-united,england,premier-league
nathan-thomas,Midtfielder,england,25,178,80,sheffield-united,england,premier-league
regan-slater,Midtfielder,england,20,-,-,sheffield-united,england,premier-league
stephen-mallon,Midtfielder,irland,20,-,-,sheffield-united,england,premier-league
tyler-smith,Attacker,england,20,173,64,sheffield-united,england,premier-league
artur-boruc,Goalkeeper,polen,39,193,88,afc-bournemouth,england,premier-league
simon-francis,Defender,england,34,183,90,afc-bournemouth,england,premier-league
steve-cook,Defender,england,28,185,83,afc-bournemouth,england,premier-league
dan-gosling,Midtfielder,england,29,183,78,afc-bournemouth,england,premier-league
nathan-ake,Defender,holland,24,180,71,afc-bournemouth,england,premier-league
andrew-surman,Midtfielder,sydafrika,33,178,72,afc-bournemouth,england,premier-league
joshua-king,Attacker,norge,27,180,74,afc-bournemouth,england,premier-league
jefferson-lerma,Midtfielder,colombia,25,179,70,afc-bournemouth,england,premier-league
dominic-solanke,Attacker,england,22,187,80,afc-bournemouth,england,premier-league
jordon-ibe,Midtfielder,england,23,176,81,afc-bournemouth,england,premier-league
charlie-daniels,Defender,england,33,178,75,afc-bournemouth,england,premier-league
aaron-ramsdale,Goalkeeper,england,21,188,77,afc-bournemouth,england,premier-league
callum-wilson,Attacker,england,27,180,66,afc-bournemouth,england,premier-league
arnaut-danjuma,Midtfielder,holland,22,179,74,afc-bournemouth,england,premier-league
adam-smith,Defender,england,28,180,78,afc-bournemouth,england,premier-league
lewis-cook,Midtfielder,england,22,175,71,afc-bournemouth,england,premier-league
jack-stacey,Midtfielder,england,23,180,68,afc-bournemouth,england,premier-league
junior-stanislas,Midtfielder,england,29,183,76,afc-bournemouth,england,premier-league
david-brooks,Midtfielder,wales,22,173,58,afc-bournemouth,england,premier-league
diego-rico,Defender,spanien,26,183,76,afc-bournemouth,england,premier-league
emerson-hyndman,Midtfielder,usa,23,170,61,afc-bournemouth,england,premier-league
ryan-fraser,Midtfielder,skotland,25,163,70,afc-bournemouth,england,premier-league
jack-simpson,Defender,england,22,178,83,afc-bournemouth,england,premier-league
lloyd-kelly,Defender,england,21,-,-,afc-bournemouth,england,premier-league
kyle-taylor,Midtfielder,england,20,178,70,afc-bournemouth,england,premier-league
philip-billing,Midtfielder,danmark,23,193,88,afc-bournemouth,england,premier-league
chris-mepham,Defender,wales,22,191,75,afc-bournemouth,england,premier-league
matt-butcher,Midtfielder,england,22,173,71,afc-bournemouth,england,premier-league
mark-travers,Goalkeeper,irland,20,-,-,afc-bournemouth,england,premier-league
will-dennis,Goalkeeper,england,19,-,-,afc-bournemouth,england,premier-league
brad-smith,Defender,australien,25,178,70,afc-bournemouth,england,premier-league
corey-jordan,Defender,england,20,-,-,afc-bournemouth,england,premier-league
brennan-camp,Defender,england,19,-,-,afc-bournemouth,england,premier-league
harry-arter,Midtfielder,irland,29,176,70,afc-bournemouth,england,premier-league
alex-dobre,Midtfielder,rumaenien,21,178,71,afc-bournemouth,england,premier-league
gavin-kilkenny,Midtfielder,irland,19,-,-,afc-bournemouth,england,premier-league
jermain-defoe,Attacker,england,37,171,65,afc-bournemouth,england,premier-league
sam-surridge,Attacker,england,21,191,77,afc-bournemouth,england,premier-league
mathew-ryan,Goalkeeper,australien,27,184,82,brighton,england,premier-league
gaetan-bong,Defender,cameroun,31,187,77,brighton,england,premier-league
shane-duffy,Defender,irland,27,193,76,brighton,england,premier-league
lewis-dunk,Defender,england,27,192,88,brighton,england,premier-league
dale-stephens,Midtfielder,england,30,169,71,brighton,england,premier-league
neal-maupay,Attacker,frankrig,23,171,69,brighton,england,premier-league
yves-bissouma,Midtfielder,mali,23,182,78,brighton,england,premier-league
leandro-trossard,Midtfielder,belgien,24,175,70,brighton,england,premier-league
pascal-gross,Midtfielder,tyskland,28,181,78,brighton,england,premier-league
leon-balogun,Defender,nigeria,31,190,81,brighton,england,premier-league
adam-webster,Defender,england,24,185,75,brighton,england,premier-league
alireza-jahanbakhsh,Attacker,iran,26,180,78,brighton,england,premier-league
glenn-murray,Attacker,england,36,183,79,brighton,england,premier-league
aaron-mooy,Midtfielder,australien,29,174,75,brighton,england,premier-league
jose-izquierdo,Attacker,colombia,27,171,73,brighton,england,premier-league
solly-march,Midtfielder,england,25,180,88,brighton,england,premier-league
ezequiel-schelotto,Midtfielder,italien,30,187,76,brighton,england,premier-league
martin-montoya,Defender,spanien,28,175,74,brighton,england,premier-league
jason-steele,Goalkeeper,england,29,188,80,brighton,england,premier-league
davy-propper,Midtfielder,holland,28,185,72,brighton,england,premier-league
david-button,Goalkeeper,england,30,191,83,brighton,england,premier-league
tudor-baluta,Defender,rumaenien,20,191,80,brighton,england,premier-league
bernardo,Defender,brasilien,24,186,76,brighton,england,premier-league
daniel-burn,Defender,england,27,198,83,brighton,england,premier-league
aaron-connolly,Attacker,irland,19,-,-,brighton,england,premier-league
steven-alzate,Midtfielder,england,21,-,-,brighton,england,premier-league
christian-walton,Goalkeeper,england,23,182,75,brighton,england,premier-league
robert-sanchez,Goalkeeper,spanien,21,197,,brighton,england,premier-league
matthew-clarke,Defender,england,23,180,70,brighton,england,premier-league
leo-oestigard,Defender,norge,19,182,80,brighton,england,premier-league
warren-ohora,Defender,irland,20,-,-,brighton,england,premier-league
jordan-davies,Defender,wales,21,-,-,brighton,england,premier-league
romaric-yapi,Defender,frankrig,19,-,-,brighton,england,premier-league
haydon-roberts,Defender,england,17,-,-,brighton,england,premier-league
beram-kayal,Midtfielder,israel,31,178,74,brighton,england,premier-league
viktor-gyoekeres,Midtfielder,sverige,21,187,86,brighton,england,premier-league
archie-davies,Midtfielder,england,21,-,-,brighton,england,premier-league
billy-arce,Midtfielder,ecuador,21,178,66,brighton,england,premier-league
alexis-mac-allister,Midtfielder,argentina,20,174,72,brighton,england,premier-league
peter-gwargis,Midtfielder,sverige,19,180,69,brighton,england,premier-league
taylor-richards,Midtfielder,england,18,-,-,brighton,england,premier-league
alexander-cochrane,Midtfielder,england,19,-,-,brighton,england,premier-league
ryan-longman,Midtfielder,england,19,-,-,brighton,england,premier-league
jack-spong,Midtfielder,england,19,-,-,brighton,england,premier-league
teddy-jenks,Midtfielder,england,17,-,-,brighton,england,premier-league
jurgen-locadia,Attacker,holland,25,185,79,brighton,england,premier-league
percy-tau,Attacker,sydafrika,25,175,74,brighton,england,premier-league
florin-andone,Attacker,rumaenien,26,180,78,brighton,england,premier-league
jan-mlakar,Attacker,slovenien,21,183,78,brighton,england,premier-league
bojan-radulovic,Attacker,serbien,19,191,79,brighton,england,premier-league
joel-ward,Defender,england,30,188,83,Crystal-Palace,england,premier-league
patrick-van-aanholt,Defender,holland,29,176,67,Crystal-Palace,england,premier-league
luka-milivojevic,Midtfielder,serbien,28,186,80,Crystal-Palace,england,premier-league
james-tomkins,Defender,england,30,192,74,Crystal-Palace,england,premier-league
scott-dann,Defender,england,32,188,78,Crystal-Palace,england,premier-league
max-meyer,Midtfielder,tyskland,24,173,60,Crystal-Palace,england,premier-league
cheikhou-kouyate,Midtfielder,senegal,29,189,75,Crystal-Palace,england,premier-league
jordan-ayew,Attacker,ghana,28,182,81,Crystal-Palace,england,premier-league
andros-townsend,Midtfielder,england,28,181,77,Crystal-Palace,england,premier-league
wilfried-zaha,Attacker,elfenbenskysten,26,180,66,Crystal-Palace,england,premier-league
mamadou-sakho,Defender,frankrig,29,187,83,Crystal-Palace,england,premier-league
wayne-hennessey,Goalkeeper,wales,32,198,85,Crystal-Palace,england,premier-league
jeffrey-schlupp,Defender,ghana,26,178,72,Crystal-Palace,england,premier-league
christian-benteke,Attacker,belgien,28,190,83,Crystal-Palace,england,premier-league
james-mcarthur,Midtfielder,skotland,32,178,64,Crystal-Palace,england,premier-league
stephen-henderson,Goalkeeper,irland,31,188,87,Crystal-Palace,england,premier-league
connor-wickham,Attacker,england,26,191,90,Crystal-Palace,england,premier-league
james-mccarthy,Midtfielder,irland,28,180,72,Crystal-Palace,england,premier-league
victor-camarasa,Midtfielder,spanien,25,183,76,Crystal-Palace,england,premier-league
gary-cahill,Defender,england,33,193,86,Crystal-Palace,england,premier-league
vicente-guaita,Goalkeeper,spanien,32,190,80,Crystal-Palace,england,premier-league
jaroslaw-jach,Defender,polen,25,190,81,Crystal-Palace,england,premier-league
martin-kelly,Defender,england,29,191,77,Crystal-Palace,england,premier-league
sam-woods,Defender,england,21,186,77,Crystal-Palace,england,premier-league
jairo-riedewald,Defender,holland,23,182,79,Crystal-Palace,england,premier-league
dion-curtis-henry,Goalkeeper,england,22,180,65,Crystal-Palace,england,premier-league
alexander-soerloth,Attacker,norge,23,193,90,Crystal-Palace,england,premier-league
david-de-gea,Goalkeeper,spanien,28,192,76,Manchester-United,england,premier-league
victor-nilsson-lindeloef,Defender,sverige,25,187,80,Manchester-United,england,premier-league
eric-bailly,Defender,elfenbenskysten,25,187,77,Manchester-United,england,premier-league
phil-jones,Defender,england,27,180,71,Manchester-United,england,premier-league
harry-maguire,Defender,england,26,194,100,Manchester-United,england,premier-league
paul-pogba,Midtfielder,frankrig,26,191,84,Manchester-United,england,premier-league
juan-mata,Midtfielder,spanien,31,170,61,Manchester-United,england,premier-league
anthony-martial,Attacker,frankrig,23,181,76,Manchester-United,england,premier-league
marcus-rashford,Attacker,england,22,180,70,Manchester-United,england,premier-league
chris-smalling,Defender,england,29,194,81,Manchester-United,england,premier-league
lee-grant,Goalkeeper,england,36,193,83,Manchester-United,england,premier-league
jesse-lingard,Midtfielder,england,26,175,60,Manchester-United,england,premier-league
andreas-pereira,Midtfielder,brasilien,23,178,66,Manchester-United,england,premier-league
fred,Midtfielder,brasilien,26,169,62,Manchester-United,england,premier-league
ashley-young,Defender,england,34,175,65,Manchester-United,england,premier-league
diogo-dalot,Defender,portugal,20,183,76,Manchester-United,england,premier-league
daniel-james,Midtfielder,wales,21,180,76,Manchester-United,england,premier-league
sergio-romero,Goalkeeper,argentina,32,192,86,Manchester-United,england,premier-league
luke-shaw,Defender,england,24,185,75,Manchester-United,england,premier-league
timothy-fosu-mensah,Defender,holland,21,190,68,Manchester-United,england,premier-league
mason-greenwood,Midtfielder,england,18,181,70,Manchester-United,england,premier-league
angel-gomes,Midtfielder,england,19,160,52,Manchester-United,england,premier-league
aaron-wan-bissaka,Defender,england,21,183,72,Manchester-United,england,premier-league
nemanja-matic,Midtfielder,serbien,31,194,83,Manchester-United,england,premier-league
james-garner,Defender,england,18,-,-,Manchester-United,england,premier-league
axel-tuanzebe,Defender,england,21,183,77,Manchester-United,england,premier-league
scott-mctominay,Midtfielder,skotland,22,193,88,Manchester-United,england,premier-league
joel-pereira,Goalkeeper,portugal,23,188,82,Manchester-United,england,premier-league
cameron-borthwick-jackson,Defender,england,22,183,78,Manchester-United,england,premier-league
tahith-chong,Midtfielder,holland,19,185,75,Manchester-United,england,premier-league
matej-kovar,Goalkeeper,tjekkiet,19,-,-,Manchester-United,england,premier-league
brandon-williams,Defender,england,19,-,-,Manchester-United,england,premier-league
alexis-sanchez,Attacker,chile,30,169,62,Manchester-United,england,premier-league
hugo-lloris,Goalkeeper,frankrig,32,188,78,Tottenham,england,premier-league
danny-rose,Defender,england,29,173,76,Tottenham,england,premier-league
toby-alderweireld,Defender,belgien,30,187,91,Tottenham,england,premier-league
jan-vertonghen,Defender,belgien,32,189,88,Tottenham,england,premier-league
davinson-sanchez,Defender,colombia,23,187,81,Tottenham,england,premier-league
heung-min-son,Attacker,sydkorea,27,180,77,Tottenham,england,premier-league
harry-winks,Midtfielder,england,23,178,65,Tottenham,england,premier-league
harry-kane,Attacker,england,26,188,86,Tottenham,england,premier-league
erik-lamela,Midtfielder,argentina,27,181,80,Tottenham,england,premier-league
victor-wanyama,Midtfielder,kenya,28,188,87,Tottenham,england,premier-league
michel-vorm,Goalkeeper,holland,36,183,84,Tottenham,england,premier-league
eric-dier,Midtfielder,england,25,188,90,Tottenham,england,premier-league
kyle-walker-peters,Defender,england,22,173,62,Tottenham,england,premier-league
moussa-sissoko,Midtfielder,frankrig,30,187,90,Tottenham,england,premier-league
giovani-lo-celso,Midtfielder,argentina,23,177,75,Tottenham,england,premier-league
ryan-sessegnon,Midtfielder,england,19,178,70,Tottenham,england,premier-league
dele-alli,Midtfielder,england,23,188,80,Tottenham,england,premier-league
juan-foyth,Defender,argentina,21,179,69,Tottenham,england,premier-league
paulo-gazzaniga,Goalkeeper,argentina,27,196,90,Tottenham,england,premier-league
christian-eriksen,Midtfielder,danmark,27,182,76,Tottenham,england,premier-league
serge-aurier,Defender,elfenbenskysten,26,176,76,Tottenham,england,premier-league
lucas-moura,Midtfielder,brasilien,27,172,81,Tottenham,england,premier-league
tanguy-ndombele,Midtfielder,frankrig,22,181,76,Tottenham,england,premier-league
ben-davies,Defender,wales,26,181,76,Tottenham,england,premier-league
brandon-austin,Goalkeeper,england,20,-,-,Tottenham,england,premier-league
cameron-carter-vickers,Defender,usa,21,183,92,Tottenham,england,premier-league
jack-clarke,Attacker,england,18,-,-,Tottenham,england,premier-league
matt-doherty,Defender,irland,27,185,75,Wolverhampton,england,premier-league
jesus-vallejo,Defender,spanien,22,183,74,Wolverhampton,england,premier-league
