montenegro ;42.69 ;49.18
curacao ;12.21 ;-69.49
republik ;-3.96 ;12.69
mozambique ;-18.25 ;35.0 
myanmar ;22.0 ;98.0 
nambia ;-22.0 ;17.0 
NAURU ;-0.5333 ;166.9167 
nepal ;28.0 ;84.0 
NETHERLAND ANTILLES ;12.25 ;-68.75 
holland ;52.5 ;5.75 
NEW CALEDONIA ;-21.5 ;165.5 
zealand ;-41.0 ;174.0 
nicaragua ;13.0 ;-85.0 
niger ;16.0 ;8.0 
nigeria ;10.0 ;8.0 
nordmakedonien ;41.50 ;21.6
NIUE ;-19.0333 ;-169.8667 
NORFOLK ISLAND ;-29.0333 ;167.95 
nordirland ;54.65;-7.64
NORTHERN MARIANAS ISLANDS ;15.2 ;145.75 
norge ;62.0 ;10.0 
oman ;21.0 ;57.0 
pakistan ;30.0 ;70.0 
PALAU ;7.5 ;134.5 
panama ;9.0 ;-80.0 
mauretanien ;20.80 ;-19.98
PAPUA NEW GUINEA ;-6.0 ;147.0 
paraguay ;-23.0 ;-58.0 
peru ;-10.0 ;-76.0 
filippinerne ;13.0 ;122.0 
polen ;52.0 ;20.0 
portugal;39.5 ;-8.0 
PUERTO RICO ;18.25 ;-66.5 
qatar ;25.5 ;51.25 
REUNION ;-21.1 ;55.6 
rumaenien ;46.0 ;25.0 
rusland ;60.0 ;100.0 
rwanda ;-2.0 ;30.0 
SAINT HELENA ;-15.9333 ;-5.7 
SAINT KITTS AND NEVIS ;17.3333 ;-62.75 
SAINT LUCIA ;13.8833 ;-61.1333 
SAINT PIERRE AND MIQUELON ;46.8333 ;-56.3333 
SAINT VINCENT AND THE GRENADINES ;13.25 ;-61.2 
SAMOA ;-13.5833 ;-172.3333 
palaestina ;31.88 ;33.77
san-marino ;43.7667 ;12.4167 
principe ;1.0 ;7.0 
saudi-arabien ;25.0 ;45.0 
skotland ;56.77;-4.5
senegal ;14.0 ;-14.0 
SEYCHELLES ;-4.5833 ;55.6667 
leone ;8.5 ;-11.5 
singapore ;1.3667 ;103.8 
slovakiet ;48.6667 ;19.5 
slovenien ;46.0 ;15.0 
SOLOMON ISLANDS ;-8.0 ;159.0 
somalia ;10.0 ;49.0 
sydafrika ;-29.0 ;24.0 
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS ;-54.5 ;-37.0 
spanien ;40.0 ;-4.0 
lanka ;7.0 ;81.0 
kasakhstan ;48.36; 67.59
sudan ;15.0 ;30.0 
leste ;-9.77 ;123.48
surinam ;4.0 ;-56.0 
SVALBARD AND JAN MAYEN ISLANDS ;78.0 ;20.0 
SWAZILAND ;-26.5 ;31.5 
sverige ;62.0 ;15.0 
schweiz ;47.0 ;8.0 
syrien ;35.0 ;38.0 
taiwan ;23.5 ;121.0 
TAJIKISTAN ;39.0 ;71.0 
tanzania ;-6.0 ;35.0 
thailand ;15.0 ;100.0 
togo ;8.0 ;1.1667 
TOKELAU ;-9.0 ;-172.0 
TONGA ;-20.0 ;-175.0 
tobago ;11.0 ;-61.0 
tunesien ;34.0 ;9.0 
tyrkiet ;39.0 ;35.0 
TURKMENISTAN ;40.0 ;60.0 
TURKS AND CAICOS ISLANDS ;21.75 ;-71.5833 
TUVALU ;-8.0 ;178.0 
uganda ;1.0 ;32.0 
ukraine ;49.0 ;32.0 
arabien ;24.0 ;54.0 
england ;54.0 ;-2.0 
usa ;38.0 ;-97.0 
uruguay ;-33.0 ;-56.0 
usbekistan ;41.0 ;64.0 
VANUATU ;-16.0 ;167.0 
VATICAN CITY ;41.9 ;12.45 
venezuela ;8.0 ;-66.0 
vietnam ;16.0 ;106.0 
VIRGIN ISLANDS (BRITISH) ;18.3333 ;-64.8333 
wales ;52.38 ;-6.40
WALLIS AND FUTUNA ISLANDS ;-13.3 ;-176.2 
WESTERN SAHARA ;24.5 ;-13.0 
yemen ;15.0 ;48.0 
ZAIRE ;-20.0 ;30.0 
zambia ;-15.0 ;30.0 
zimbabwe ;-20;30
